Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Allerton,40.86578788,-73.85931863,Domenick's Pizzeria,40.86557632085589,-73.85812427249664,Pizza Place
Allerton,40.86578788,-73.85931863,Bronx Martial Arts Academy,40.865721,-73.857529,Martial Arts Dojo
Allerton,40.86578788,-73.85931863,White Castle,40.866065155359436,-73.8623072418302,Fast Food Restaurant
Allerton,40.86578788,-73.85931863,Dunkin',40.86520435475716,-73.85900696911295,Donut Shop
Allerton,40.86578788,-73.85931863,Sal & Doms Bakery,40.865376850385296,-73.85523627405723,Dessert Shop
Allerton,40.86578788,-73.85931863,IHOP,40.86572773310355,-73.86245960660263,Breakfast Spot
Allerton,40.86578788,-73.85931863,Dollar Tree,40.8662392857143,-73.8615464285714,Discount Store
Allerton,40.86578788,-73.85931863,Domino's Pizza,40.8663626,-73.8617983,Pizza Place
Allerton,40.86578788,-73.85931863,Popeyes Louisiana Kitchen,40.86678629542165,-73.8612075239635,Fried Chicken Joint
Allerton,40.86578788,-73.85931863,Rite Aid,40.865949,-73.860922,Pharmacy
Allerton,40.86578788,-73.85931863,Shell,40.86515,-73.858947,Gas Station
Allerton,40.86578788,-73.85931863,Foodtown,40.865370217616665,-73.85815233254179,Supermarket
Allerton,40.86578788,-73.85931863,Fine Fare,40.864541547358165,-73.86315830143872,Supermarket
Allerton,40.86578788,-73.85931863,Prego's Pizza,40.86384057998657,-73.8565993309021,Pizza Place
Allerton,40.86578788,-73.85931863,Walgreens,40.865950021850686,-73.86094060442827,Pharmacy
Allerton,40.86578788,-73.85931863,Goldner Plumbing,40.86570483,-73.856943,Construction & Landscaping
Allerton,40.86578788,-73.85931863,Mamma Rosa's,40.865702,-73.858347,Deli / Bodega
Allerton,40.86578788,-73.85931863,Marcone Supply,40.865793,-73.85904599999999,Paper / Office Supplies Store
Allerton,40.86578788,-73.85931863,Angela's Floral Gallery,40.865683000000004,-73.858263,Gift Shop
Allerton,40.86578788,-73.85931863,MTA MaBSTOA Bus Bx8 / Bx26 & Bee-Line 60 / 61 / 62 at Allerton Avenue & Williamsbridge / Boston Rd,40.8659677399159,-73.86094450950623,Bus Station
Allerton,40.86578788,-73.85931863,Muriqi Kitchens Ltd,40.865767,-73.859235,Home Service
Allerton,40.86578788,-73.85931863,T U Liquors,40.86561074059915,-73.85891675949097,Food & Drink Shop
Allerton,40.86578788,-73.85931863,The Flowerland,40.865717,-73.860276,Flower Shop
Allerton,40.86578788,-73.85931863,The MJ Treatment,40.866909605831516,-73.85841297124398,Spa
Allerton,40.86578788,-73.85931863,Mega Meats,40.86735916137695,-73.85991668701172,Market
Allerton,40.86578788,-73.85931863,Domenicks's Pizzeria,40.86572,-73.858059,Pizza Place
Allerton,40.86578788,-73.85931863,UPS Access Point location,40.865546,-73.859103,Shipping Store
Allerton,40.86578788,-73.85931863,Hockman Hill Group,40.86702,-73.859964,Construction & Landscaping
Allerton,40.86578788,-73.85931863,benjamin's pharmacy,40.865711526333165,-73.85898906650147,Pharmacy
Allerton,40.86578788,-73.85931863,Verizon FiOS Store,40.866275506749524,-73.86162499805525,Electronics Store
Allerton,40.86578788,-73.85931863,Chef King,40.86569,-73.85663199999999,Chinese Restaurant
Allerton,40.86578788,-73.85931863,Huma's Beauty Point,40.865673,-73.856534,Spa
Allerton,40.86578788,-73.85931863,"Anthony L. Verrelli & Associates, Attorneys at Law",40.86500096,-73.86193671,Lawyer
Allerton,40.86578788,-73.85931863,Deals,40.86784999089773,-73.86040753514959,Discount Store
Allerton,40.86578788,-73.85931863,Allerton Avenue NYC Street Bike Path / Trail,40.8660590079578,-73.8622911538121,Bike Trail
Allerton,40.86578788,-73.85931863,Boston TV Service,40.866956,-73.862542,Electronics Store
Allerton,40.86578788,-73.85931863,Mazzei Playground,40.86374971026969,-73.85682975855543,Playground
Allerton,40.86578788,-73.85931863,Gino's Cafe,40.86563,-73.862996,Food
